"lng","lat","count"
"102.771799","25.083724","6"
"102.760572","25.091866","6"
"102.755095","25.094821","6"
"102.670588","24.990024","6"
"102.794241","25.038939","6"
"102.666117","24.994271","6"
"102.657081","25.006284","6"
"102.693682","24.975873","6"
"102.650329","25.022554","6"
"102.654786","25.063697","6"
"102.648078","25.034761","6"
"102.769555","25.087794","6"
"102.663869","24.994398","6"
"102.647138","25.040052","6"
"102.665108","25.081313","6"
"102.70886","25.104038","6"
"102.796484","25.045041","6"
"102.769555","25.089827","6"
"102.647405","25.023422","6"
"102.796485","25.047076","6"
"102.723156","25.105968","6"
"102.646571","25.051212","6"
"102.660142","25.078361","6"
"102.6841","25.097895","6"
"102.699854","24.969718","6"
"102.679597","25.095853","6"
"102.798728","25.045037","6"
"102.686439","25.100029","6"
"102.69085","24.971739","6"
"102.769555","25.093896","6"
"102.688599","24.971735","6"
"102.773601","25.091173","6"
"102.800971","25.03893","6"
"102.761556","25.09907","6"
"102.64428","25.055387","6"
"102.643774","25.020262","6"
"102.774145","25.092013","6"
"102.796485","25.063353","6"
"102.645779","25.062627","6"
"102.643745","25.057241","6"
"102.702104","24.96565","6"
"102.803214","25.038926","6"
"102.767791","25.097941","6"
"102.643577","25.059171","6"
"102.643576","25.014402","6"
"102.697697","24.965756","6"
"102.677342","24.97375","6"
"102.641384","25.018407","6"
"102.661583","24.9839","6"
"102.659332","24.985931","6"
"102.641326","25.014399","6"
"102.701708","24.962832","6"
"102.657081","24.987963","6"
"102.639077","25.05306","6"
"102.654738","24.990117","6"
"102.639077","25.055095","6"
"102.63683","25.042904","6"
"102.684096","24.967654","6"
"102.641018","25.063253","6"
"102.645829","25.073416","6"
"102.654853","24.987937","6"
"102.64808","25.077488","6"
"102.670591","25.099903","6"
"102.652579","24.989991","6"
"102.636827","25.053057","6"
"102.639077","25.061199","6"
"102.741182","25.113679","6"
"102.641317","25.069331","6"
"102.661583","24.977792","6"
"102.672839","24.969669","6"
"102.67509","24.967637","6"
"102.794243","25.085733","6"
"102.812186","25.036876","6"
"102.698427","24.956906","6"
"102.67509","24.965601","6"
"102.657081","24.977784","6"
"102.72019","25.120328","6"
"102.639815","25.077625","6"
"102.753833","25.116273","6"
"102.732634","25.1211","6"
"102.66414","25.103907","6"
"102.785268","25.099983","6"
"102.672843","25.110076","6"
"102.726859","25.122362","6"
"102.644062","25.086364","6"
"102.668336","24.965588","6"
"102.735853","25.122369","6"
"102.661583","24.969648","6"
"102.738101","25.12237","6"
"102.692962","24.953564","6"
"102.654829","24.973708","6"
"102.652578","24.97574","6"
"102.726859","25.124396","6"
"102.729108","25.124397","6"
"102.659331","24.969644","6"
"102.814429","25.063323","6"
"102.805459","25.081647","6"
"102.642103","25.08769","6"
"102.733557","25.124438","6"
"102.663564","25.108093","6"
"102.753196","25.121018","6"
"102.657079","24.96964","6"
"102.66834","25.112101","6"
"102.736479","25.125254","6"
"102.659331","24.967608","6"
"102.72461","25.126427","6"
"102.731356","25.126433","6"
"102.720044","25.01364","7"
"102.731096","25.015273","7"
"102.740213","25.017398","7"
"102.76057","25.020655","7"
"102.765062","25.024723","7"
"102.740149","24.998185","7"
"102.760569","25.010478","7"
"102.741542","24.995884","7"
"102.765061","25.010476","7"
"102.767307","25.01251","7"
"102.745253","24.992402","7"
"102.769552","25.008438","7"
"102.746583","24.989706","7"
"102.775912","25.01865","7"
"102.738097","24.986049","7"
"102.776437","25.014501","7"
"102.773696","25.008464","7"
"102.778532","25.014537","7"
"102.776288","25.008433","7"
"102.762843","24.992773","7"
"102.776477","25.007116","7"
"102.780776","25.014535","7"
"102.749417","24.983943","7"
"102.7159","24.977881","7"
"102.785265","25.022671","7"
"102.780777","25.010464","7"
"102.733601","24.977903","7"
"102.787509","25.026738","7"
"102.774366","24.998554","7"
"102.747088","24.979944","7"
"102.780786","25.006403","7"
"102.785265","25.012494","7"
"102.71464","24.974272","7"
"102.741771","24.976514","7"
"102.789753","25.02063","7"
"102.717856","24.97178","7"
"102.720106","24.971783","7"
"102.778531","24.996218","7"
"102.789753","25.014524","7"
"102.767567","24.981981","7"
"102.791997","25.010451","7"
"102.787509","25.000279","7"
"102.79424","25.010447","7"
"102.776287","24.986041","7"
"102.78302","24.990106","7"
"102.778531","24.984003","7"
"102.78303","24.986026","7"
"102.789752","24.992134","7"
"102.789752","24.990097","7"
"102.791996","24.990095","7"
"102.769551","24.967723","7"
"102.731351","24.955504","7"
"102.711106","24.955482","7"
"102.791996","24.983988","7"
"102.722355","24.953459","7"
"102.724604","24.953461","7"
"102.730716","24.952943","7"
"102.702104","24.953432","7"
"102.722354","24.951423","7"
"102.768136","24.961679","7"
"102.778531","24.967715","7"
"102.753829","24.955511","7"
"102.702104","24.951396","7"
"102.811986","25.006177","7"
"102.720105","24.949384","7"
"102.753829","24.953475","7"
"102.716961","25.040886","8"
"102.709039","25.050242","8"
"102.711109","25.053186","8"
"102.700506","25.034067","8"
"102.699322","25.033361","8"
"102.705872","25.052547","8"
"102.717805","25.013712","8"
"102.731435","25.014307","8"
"102.69684","25.026196","8"
"102.705295","25.0584","8"
"102.70001","25.054752","8"
"102.743869","25.054647","8"
"102.74709","25.022691","8"
"102.735064","25.062042","8"
"102.689792","25.036812","8"
"102.688282","25.044174","8"
"102.718901","25.003076","8"
"102.68827","25.052431","8"
"102.734533","25.00339","8"
"102.76057","25.03083","8"
"102.726489","25.001174","8"
"102.708857","25.002305","8"
"102.746316","25.007071","8"
"102.715841","24.999469","8"
"102.700809","25.003602","8"
"102.719676","24.998204","8"
"102.691062","25.064266","8"
"102.679595","25.026679","8"
"102.695354","25.069437","8"
"102.680496","25.053109","8"
"102.719221","24.994519","8"
"102.758323","25.010479","8"
"102.678796","25.056429","8"
"102.758325","25.065422","8"
"102.683477","25.06407","8"
"102.679909","25.061025","8"
"102.769552","25.02065","8"
"102.670686","25.030338","8"
"102.756079","25.071526","8"
"102.699856","25.079616","8"
"102.669667","25.038969","8"
"102.670589","25.026662","8"
"102.744845","24.994198","8"
"102.67143","25.055082","8"
"102.724365","25.0858","8"
"102.760569","25.002336","8"
"102.764491","25.006213","8"
"102.676115","25.009469","8"
"102.692613","25.079842","8"
"102.747088","24.992159","8"
"102.771798","25.014543","8"
"102.668338","25.020552","8"
"102.677343","25.004286","8"
"102.669834","25.05894","8"
"102.663835","25.030719","8"
"102.663836","25.042929","8"
"102.678252","25.072686","8"
"102.676815","25.072078","8"
"102.765061","25.000299","8"
"102.681848","25.07755","8"
"102.754686","25.082455","8"
"102.714831","24.982058","8"
"102.71336","25.091841","8"
"102.661584","25.02461","8"
"102.717455","25.092678","8"
"102.69085","24.988026","8"
"102.760454","24.992702","8"
"102.758852","24.991386","8"
"102.722357","24.979931","8"
"102.714781","24.979907","8"
"102.760663","24.991714","8"
"102.785286","25.035762","8"
"102.735849","24.97994","8"
"102.785266","25.047091","8"
"102.659332","25.020535","8"
"102.746349","24.982485","8"
